C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,11:05:36,0000000307950762,P5MIN,0000000307950759
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 11:10:00","2019/05/16 11:10:00",0,10747973579.6830,0,0,0,30,0,999.813,,,,,0,0,0,0,"2019/05/16 11:05:25"
I,P5MIN,LOCAL_PRICE,1,RUN_DATETIME,DUID,INTERVAL_DATETIME,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED,LASTCHANGED
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 11:10:00",GORDON,"2019/05/16 11:10:00",20.79,2,"2019/05/16 11:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 11:10:00",GORDON,"2019/05/16 11:15:00",17.81,2,"2019/05/16 11:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 11:10:00",GORDON,"2019/05/16 11:20:00",17.71,2,"2019/05/16 11:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 11:10:00",GORDON,"2019/05/16 11:25:00",17.71,2,"2019/05/16 11:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 11:10:00",GORDON,"2019/05/16 11:30:00",17.71,2,"2019/05/16 11:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 11:10:00",GORDON,"2019/05/16 11:35:00",17.71,2,"2019/05/16 11:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 11:10:00",GORDON,"2019/05/16 11:40:00",17.71,2,"2019/05/16 11:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 11:10:00",GORDON,"2019/05/16 11:45:00",17.71,2,"2019/05/16 11:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 11:10:00",GORDON,"2019/05/16 11:50:00",17.71,2,"2019/05/16 11:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 11:10:00",GORDON,"2019/05/16 11:55:00",17.65,2,"2019/05/16 11:05:25"
