C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,00:15:36,0000000307932428,P5MIN,0000000307932425
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",URANQ12,"2019/05/16 01:10:00",17.39,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",URANQ12,"2019/05/16 01:15:00",14.46,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",URANQ13,"2019/05/16 00:30:00",4.34,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",URANQ13,"2019/05/16 00:35:00",24.74,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",URANQ13,"2019/05/16 00:40:00",26.64,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",URANQ13,"2019/05/16 00:45:00",15.99,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",URANQ13,"2019/05/16 00:50:00",14.07,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",URANQ13,"2019/05/16 00:55:00",20.49,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",URANQ13,"2019/05/16 01:00:00",16.1,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",URANQ13,"2019/05/16 01:05:00",23.77,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",URANQ13,"2019/05/16 01:10:00",17.39,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",URANQ13,"2019/05/16 01:15:00",14.46,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",URANQ14,"2019/05/16 00:30:00",4.34,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",URANQ14,"2019/05/16 00:35:00",24.74,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",URANQ14,"2019/05/16 00:40:00",26.64,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",URANQ14,"2019/05/16 00:45:00",15.99,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",URANQ14,"2019/05/16 00:50:00",14.07,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",URANQ14,"2019/05/16 00:55:00",20.49,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",URANQ14,"2019/05/16 01:00:00",16.1,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",URANQ14,"2019/05/16 01:05:00",23.77,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",URANQ14,"2019/05/16 01:10:00",17.39,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",URANQ14,"2019/05/16 01:15:00",14.46,2,"2019/05/16 00:15:25"
