C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,14:55:35,0000000307957337,P5MIN,0000000307957334
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 15:00:00","2019/05/16 15:00:00",0,3318707399.1930,0,0,0,0,0,336.875,,,,,0,0,0,0,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",LK_ECHO,"2019/05/16 15:50:00",40.71,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",LK_ECHO,"2019/05/16 15:55:00",40.71,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",MEADOWBK,"2019/05/16 15:00:00",40.91,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",MEADOWBK,"2019/05/16 15:05:00",52.09,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",MEADOWBK,"2019/05/16 15:10:00",56.71,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",MEADOWBK,"2019/05/16 15:15:00",55.26,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",MEADOWBK,"2019/05/16 15:20:00",47.23,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",MEADOWBK,"2019/05/16 15:25:00",43.65,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",MEADOWBK,"2019/05/16 15:30:00",44.81,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",MEADOWBK,"2019/05/16 15:35:00",62.29,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",MEADOWBK,"2019/05/16 15:40:00",40.94,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",MEADOWBK,"2019/05/16 15:45:00",40.71,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",MEADOWBK,"2019/05/16 15:50:00",40.71,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",MEADOWBK,"2019/05/16 15:55:00",40.71,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",TARRALEA,"2019/05/16 15:00:00",40.91,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",TARRALEA,"2019/05/16 15:05:00",52.09,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",TARRALEA,"2019/05/16 15:10:00",56.71,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",TARRALEA,"2019/05/16 15:15:00",55.26,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",TARRALEA,"2019/05/16 15:20:00",47.23,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",TARRALEA,"2019/05/16 15:25:00",43.65,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",TARRALEA,"2019/05/16 15:30:00",44.81,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",TARRALEA,"2019/05/16 15:35:00",62.29,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",TARRALEA,"2019/05/16 15:40:00",40.94,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",TARRALEA,"2019/05/16 15:45:00",40.71,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",TARRALEA,"2019/05/16 15:50:00",40.71,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",TARRALEA,"2019/05/16 15:55:00",40.71,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",TUNGATIN,"2019/05/16 15:00:00",40.91,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",TUNGATIN,"2019/05/16 15:05:00",52.09,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",TUNGATIN,"2019/05/16 15:10:00",56.71,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",TUNGATIN,"2019/05/16 15:15:00",55.26,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",TUNGATIN,"2019/05/16 15:20:00",47.23,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",TUNGATIN,"2019/05/16 15:25:00",43.65,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",TUNGATIN,"2019/05/16 15:30:00",44.81,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",TUNGATIN,"2019/05/16 15:35:00",62.29,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",TUNGATIN,"2019/05/16 15:40:00",40.94,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",TUNGATIN,"2019/05/16 15:45:00",40.71,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",TUNGATIN,"2019/05/16 15:50:00",40.71,2,"2019/05/16 14:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:00:00",TUNGATIN,"2019/05/16 15:55:00",40.71,2,"2019/05/16 14:55:24"
