C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,19:35:35,0000000307965781,P5MIN,0000000307965778
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 19:40:00","2019/05/16 19:40:00",0,442960281.5990,0,0,0,0,0,66.64,,,,,0,0,0,0,"2019/05/16 19:35:25"
I,P5MIN,LOCAL_PRICE,1,RUN_DATETIME,DUID,INTERVAL_DATETIME,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED,LASTCHANGED
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:40:00",GORDON,"2019/05/16 19:40:00",-13.04,2,"2019/05/16 19:35:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:40:00",GORDON,"2019/05/16 19:45:00",-13.63,2,"2019/05/16 19:35:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:40:00",GORDON,"2019/05/16 19:50:00",-15.44,2,"2019/05/16 19:35:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:40:00",GORDON,"2019/05/16 19:55:00",-15.44,2,"2019/05/16 19:35:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:40:00",GORDON,"2019/05/16 20:00:00",-12.83,2,"2019/05/16 19:35:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:40:00",GORDON,"2019/05/16 20:05:00",0.11,2,"2019/05/16 19:35:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:40:00",LI_WY_CA,"2019/05/16 19:40:00",-13.04,2,"2019/05/16 19:35:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:40:00",LI_WY_CA,"2019/05/16 19:45:00",-13.63,2,"2019/05/16 19:35:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:40:00",LI_WY_CA,"2019/05/16 19:50:00",-15.44,2,"2019/05/16 19:35:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:40:00",LI_WY_CA,"2019/05/16 19:55:00",-15.44,2,"2019/05/16 19:35:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:40:00",LI_WY_CA,"2019/05/16 20:00:00",-12.83,2,"2019/05/16 19:35:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:40:00",LI_WY_CA,"2019/05/16 20:05:00",0.11,2,"2019/05/16 19:35:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:40:00",LK_ECHO,"2019/05/16 19:40:00",-13.04,2,"2019/05/16 19:35:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:40:00",LK_ECHO,"2019/05/16 19:45:00",-13.63,2,"2019/05/16 19:35:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:40:00",LK_ECHO,"2019/05/16 19:50:00",-15.44,2,"2019/05/16 19:35:25"
