C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,15:30:36,0000000307958307,P5MIN,0000000307958304
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 15:35:00","2019/05/16 15:35:00",0,-183173353.96,0,0,0,0,0,10.375,,,,,0,0,0,0,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",LK_ECHO,"2019/05/16 16:25:00",72.37,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",LK_ECHO,"2019/05/16 16:30:00",206.15,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",MEADOWBK,"2019/05/16 15:35:00",49.66,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",MEADOWBK,"2019/05/16 15:40:00",40.71,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",MEADOWBK,"2019/05/16 15:45:00",40.71,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",MEADOWBK,"2019/05/16 15:50:00",40.71,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",MEADOWBK,"2019/05/16 15:55:00",40.71,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",MEADOWBK,"2019/05/16 16:00:00",72.37,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",MEADOWBK,"2019/05/16 16:05:00",42.93,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",MEADOWBK,"2019/05/16 16:10:00",41.5,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",MEADOWBK,"2019/05/16 16:15:00",57.97,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",MEADOWBK,"2019/05/16 16:20:00",73.07,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",MEADOWBK,"2019/05/16 16:25:00",72.37,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",MEADOWBK,"2019/05/16 16:30:00",206.15,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",TARRALEA,"2019/05/16 15:35:00",49.66,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",TARRALEA,"2019/05/16 15:40:00",40.71,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",TARRALEA,"2019/05/16 15:45:00",40.71,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",TARRALEA,"2019/05/16 15:50:00",40.71,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",TARRALEA,"2019/05/16 15:55:00",40.71,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",TARRALEA,"2019/05/16 16:00:00",72.37,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",TARRALEA,"2019/05/16 16:05:00",42.93,2,"2019/05/16 15:30:26"
